date,クリック数,表示回数,費用,コンバージョン,コンバージョン単価,CPA,リースバック,リバースモーゲージ,リバース60,任意売却,住宅ローン 払えない,不動産担保ローン
2026-03-01,23,184,51938,0.0,0.0,0.0,70,51,18,66,0,73
2026-03-02,22,205,40583,0.0,0.0,0.0,70,51,18,66,0,73
2026-03-03,12,165,21425,0.0,0.0,0.0,70,51,18,66,0,73
2026-03-04,9,172,20521,0.0,0.0,0.0,70,51,18,66,0,73
2026-03-05,11,308,10007,0.0,0.0,0.0,70,51,18,66,0,73
2026-03-06,27,551,30591,0.0,0.0,0.0,70,51,18,66,0,73
2026-03-07,12,510,17727,1.0,17727.0,17727.0,70,51,18,66,0,73
2026-03-08,0,0,0,0.0,0.0,0.0,56,49,22,67,0,71
2026-03-09,43,648,61044,1.0,61044.0,61044.0,56,49,22,67,0,71
2026-03-10,35,623,36647,1.0,36647.0,36647.0,56,49,22,67,0,71
2026-03-11,74,1372,109208,1.0,109208.0,109208.0,56,49,22,67,0,71
2026-03-12,65,2079,103391,3.0,34464.0,34463.666666666664,56,49,22,67,0,71
2026-03-13,69,1901,92079,2.0,46040.0,46039.5,56,49,22,67,0,71
2026-03-14,62,1465,140822,3.5,40235.0,40234.857142857145,56,49,22,67,0,71
2026-03-15,62,1911,127924,1.5,85283.0,85282.66666666667,58,31,20,67,63,76
2026-03-16,66,1545,147201,0.0,0.0,0.0,58,31,20,67,63,76
2026-03-17,97,2400,123450,2.0,61725.0,61725.0,58,31,20,67,63,76
2026-03-18,78,1631,122519,2.0,61259.0,61259.5,58,31,20,67,63,76
2026-03-19,56,1243,101592,3.0,33864.0,33864.0,58,31,20,67,63,76
2026-03-22,0,0,0,0.0,0.0,0.0,56,46,21,49,0,67
2026-03-23,43,524,74628,2.0,37314.0,37314.0,56,46,21,49,0,67
2026-03-24,34,522,81659,1.0,81659.0,81659.0,56,46,21,49,0,67
2026-03-25,32,606,55506,1.0,55506.0,55506.0,56,46,21,49,0,67
2026-03-26,50,773,62909,1.0,62909.0,62909.0,56,46,21,49,0,67
2026-03-27,42,785,122044,1.0,122044.0,122044.0,56,46,21,49,0,67
2026-03-28,2,17,2816,0.0,0.0,0.0,56,46,21,49,0,67
2026-03-30,0,0,0,0.0,0.0,0.0,47,46,17,60,57,66
2026-03-31,46,523,116026,2.0,58013.0,58013.0,47,46,17,60,57,66
2026-04-01,47,808,55490,1.0,55490.0,55490.0,47,46,17,60,57,66
2026-04-02,64,819,115480,2.0,57740.0,57740.0,47,46,17,60,57,66
2026-04-03,42,708,101699,3.0,33900.0,33899.666666666664,47,46,17,60,57,66
2026-04-04,47,657,110353,2.0,55177.0,55176.5,47,46,17,60,57,66
2026-04-05,54,660,55344,1.0,55344.0,55344.0,51,46,16,75,0,56
2026-04-06,53,874,83375,2.0,41688.0,41687.5,51,46,16,75,0,56
