variable,coefficient,pvalue
Intercept,-3.1135375492696458,0.11144368676352999
C(weekday)[T.1],0.08604004089516713,0.8277911299667149
C(weekday)[T.2],0.35406102924445343,0.3738729130986065
C(weekday)[T.3],0.26555490350229716,0.5273255018398408
C(weekday)[T.4],-0.2107548772900534,0.6230744382803345
C(weekday)[T.5],0.6277051668135902,0.1436800245632568
C(weekday)[T.6],0.0968136342051109,0.8153014363070332
C(month)[T.4],-0.6321584404310729,0.10698659685975481
C(month)[T.5],-0.9150876732903883,0.1281535619507035
C(month)[T.6],0.033347142782554684,0.9522708013446226
cost_adstock,1.27924989704257e-05,5.436483823860878e-05
trend_leaseback,-0.06128545276684675,0.010645476573320784
trend_reverse_mortgage,0.0715872364462597,0.001732931897822991
trend_reverse60,-0.004685730134498148,0.44065541479798065
trend_sale,0.03746508308899679,0.024804181319271687
trend_loan,0.00104531088245981,0.8158513585151808
trend_collateral,0.010520173232594264,0.5073138278825655
