時間帯,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日
0,175339,229273,236952,258732,165383,295972,160512
1,30560,26657,24994,22167,35521,21941,13017
2,18753,20399,24229,47326,15771,15903,30421
3,7529,21138,39139,7310,38979,25983,30046
4,18347,36019,16980,27283,22228,31516,77985
5,9121,34343,30018,50185,6850,27257,50990
6,333924,396114,385867,382618,346556,302250,253856
7,446445,533844,540784,490243,508689,452604,385885
8,485957,474880,544353,505635,507476,447195,475356
9,682013,816076,751260,826437,602451,674665,523375
10,940706,824337,891813,800143,937310,647975,558308
11,742571,865965,773312,805938,746669,690766,724174
12,790933,853687,872073,741843,702406,704278,616329
13,982912,974329,705347,795212,781188,643399,593138
14,793689,806796,835437,780675,724978,684830,623295
15,841115,691501,910924,710772,580030,627501,569118
16,895584,666775,694104,711865,576073,710269,680843
17,644643,732686,873601,710556,496046,540194,489454
18,569825,569361,588082,577530,409513,441231,393561
19,504270,485746,435787,477353,449564,401970,368840
20,496688,406369,427700,504748,345120,431114,372057
21,265837,345275,310461,351485,301596,330554,286324
22,296825,289445,258911,276546,263036,247386,220990
23,188820,148363,211472,148838,214560,186956,160336
