時間帯,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日
0,13.0,8.6,4.0,10.0,10.0,12.0,6.0
1,2.0,2.0,1.0,0.0,2.0,1.41,1.0
2,0.55,1.0,2.0,2.0,0.0,0.0,1.0
3,1.0,0.0,2.0,0.0,0.0,1.45,0.0
4,0.0,2.0,0.0,0.0,1.0,0.0,2.0
5,1.0,2.0,1.0,1.0,0.0,3.0,2.0
6,5.0,13.0,16.0,9.83,13.0,10.75,6.33
7,14.5,21.92,12.5,8.66,18.02,14.0,5.5
8,14.29,20.0,14.07,19.0,18.27,11.77,15.0
9,23.86,20.25,22.8,26.0,27.33,18.5,14.0
10,28.759999999999998,29.18,28.33,21.310000000000002,29.38,19.009999999999998,14.17
11,19.63,30.5,32.81,39.480000000000004,29.31,19.33,26.42
12,36.09,31.17,26.43,31.28,31.37,26.5,20.83
13,28.990000000000002,30.11,23.0,23.79,26.85,22.33,20.0
14,22.66,26.810000000000002,22.45,25.39,25.96,19.16,26.25
15,25.83,22.71,35.5,31.14,22.58,14.83,13.0
16,34.0,22.0,20.44,26.5,15.85,25.0,22.17
17,18.68,27.43,25.92,26.55,22.0,19.5,19.15
18,14.0,23.59,24.96,23.0,18.38,14.33,9.0
19,12.0,22.0,14.33,14.17,13.0,16.5,14.5
20,22.439999999999998,10.620000000000001,11.49,15.67,13.379999999999999,14.5,6.0
21,17.02,8.0,11.49,14.5,11.83,12.0,9.0
22,12.44,12.21,11.620000000000001,14.7,7.49,9.0,9.49
23,8.0,6.0,6.45,7.74,4.0,7.8,3.0
