時間帯,曜日,クリック数,費用,コンバージョン,表示回数,CV率,CPA
0,土曜日,326,295972,12.0,6332,0.03680981595092025,24664.333333333332
0,日曜日,375,160512,6.0,11010,0.016,26752.0
0,月曜日,255,175339,13.0,4068,0.050980392156862744,13487.615384615385
0,木曜日,304,258732,10.0,5979,0.03289473684210526,25873.2
0,水曜日,274,236952,4.0,3944,0.014598540145985401,59238.0
0,火曜日,263,229273,8.6,3664,0.032699619771863114,26659.6511627907
0,金曜日,226,165383,10.0,3657,0.04424778761061947,16538.3
1,土曜日,39,21941,1.41,1213,0.036153846153846154,15560.99290780142
1,日曜日,51,13017,1.0,2067,0.0196078431372549,13017.0
1,月曜日,29,30560,2.0,679,0.06896551724137931,15280.0
1,木曜日,37,22167,0.0,948,0.0,0.0
1,水曜日,27,24994,1.0,604,0.037037037037037035,24994.0
1,火曜日,27,26657,2.0,577,0.07407407407407407,13328.5
1,金曜日,31,35521,2.0,439,0.06451612903225806,17760.5
2,土曜日,21,15903,0.0,812,0.0,0.0
2,日曜日,30,30421,1.0,1008,0.03333333333333333,30421.0
2,月曜日,16,18753,0.55,461,0.034375,34096.36363636363
2,木曜日,43,47326,2.0,1743,0.046511627906976744,23663.0
2,水曜日,20,24229,2.0,482,0.1,12114.5
2,火曜日,18,20399,1.0,458,0.05555555555555555,20399.0
2,金曜日,11,15771,0.0,355,0.0,0.0
3,土曜日,19,25983,1.45,406,0.07631578947368421,17919.310344827587
3,日曜日,14,30046,0.0,591,0.0,0.0
3,月曜日,12,7529,1.0,338,0.08333333333333333,7529.0
3,木曜日,30,7310,0.0,1852,0.0,0.0
3,水曜日,26,39139,2.0,365,0.07692307692307693,19569.5
3,火曜日,21,21138,0.0,351,0.0,0.0
3,金曜日,14,38979,0.0,353,0.0,0.0
4,土曜日,18,31516,0.0,269,0.0,0.0
4,日曜日,7,77985,2.0,532,0.2857142857142857,38992.5
4,月曜日,16,18347,0.0,390,0.0,0.0
4,木曜日,45,27283,0.0,2838,0.0,0.0
4,水曜日,23,16980,0.0,409,0.0,0.0
4,火曜日,31,36019,2.0,345,0.06451612903225806,18009.5
4,金曜日,13,22228,1.0,342,0.07692307692307693,22228.0
5,土曜日,26,27257,3.0,391,0.11538461538461539,9085.666666666666
5,日曜日,23,50990,2.0,697,0.08695652173913043,25495.0
5,月曜日,18,9121,1.0,559,0.05555555555555555,9121.0
5,木曜日,42,50185,1.0,2576,0.023809523809523808,50185.0
5,水曜日,19,30018,1.0,497,0.05263157894736842,30018.0
5,火曜日,29,34343,2.0,557,0.06896551724137931,17171.5
5,金曜日,20,6850,0.0,556,0.0,0.0
6,土曜日,285,302250,10.75,2885,0.037719298245614034,28116.279069767443
6,日曜日,321,253856,6.33,3464,0.0197196261682243,40103.633491311215
6,月曜日,328,333924,5.0,3952,0.01524390243902439,66784.8
6,木曜日,375,382618,9.83,4929,0.026213333333333335,38923.499491353
6,水曜日,381,385867,16.0,3821,0.04199475065616798,24116.6875
6,火曜日,372,396114,13.0,4145,0.03494623655913978,30470.30769230769
6,金曜日,378,346556,13.0,4081,0.03439153439153439,26658.153846153848
7,土曜日,396,452604,14.0,4284,0.03535353535353535,32328.85714285714
7,日曜日,419,385885,5.5,4615,0.013126491646778043,70160.90909090909
7,月曜日,503,446445,14.5,5885,0.02882703777335984,30789.310344827587
7,木曜日,624,490243,8.66,19076,0.013878205128205128,56610.046189376444
7,水曜日,555,540784,12.5,6271,0.02252252252252252,43262.72
7,火曜日,520,533844,21.92,5722,0.04215384615384616,24354.197080291968
7,金曜日,672,508689,18.02,20281,0.026815476190476188,28229.134295227526
8,土曜日,473,447195,11.77,5709,0.024883720930232556,37994.47748513169
8,日曜日,452,475356,15.0,5785,0.033185840707964605,31690.4
8,月曜日,526,485957,14.29,6730,0.027167300380228136,34006.78796361092
8,木曜日,554,505635,19.0,8395,0.03429602888086643,26612.36842105263
8,水曜日,542,544353,14.07,6937,0.025959409594095942,38688.91257995735
8,火曜日,501,474880,20.0,6474,0.03992015968063872,23744.0
8,金曜日,586,507476,18.27,7920,0.031177474402730374,27776.46414887794
9,土曜日,600,674665,18.5,6715,0.030833333333333334,36468.37837837838
9,日曜日,593,523375,14.0,8751,0.023608768971332208,37383.92857142857
9,月曜日,694,682013,23.86,9942,0.034380403458213256,28583.948030176027
9,木曜日,989,826437,26.0,11695,0.0262891809908999,31786.03846153846
9,水曜日,682,751260,22.8,9127,0.03343108504398827,32950.0
9,火曜日,932,816076,20.25,11099,0.021727467811158797,40300.049382716046
9,金曜日,635,602451,27.33,10272,0.043039370078740154,22043.578485181122
10,土曜日,701,647975,19.009999999999998,7802,0.027118402282453633,34086.00736454498
10,日曜日,615,558308,14.17,7973,0.023040650406504066,39400.70571630204
10,月曜日,1076,940706,28.759999999999998,14278,0.026728624535315982,32708.83171070932
10,木曜日,857,800143,21.310000000000002,12307,0.024865810968494752,37547.77099953073
10,水曜日,1606,891813,28.33,79384,0.017640099626400996,31479.456406636076
10,火曜日,830,824337,29.18,10694,0.035156626506024094,28250.068540095956
10,金曜日,1024,937310,29.38,13383,0.02869140625,31902.995234853643
11,土曜日,633,690766,19.33,8476,0.030537124802527644,35735.437144335236
11,日曜日,637,724174,26.42,9157,0.04147566718995291,27410.06813020439
11,月曜日,812,742571,19.63,12275,0.02417487684729064,37828.37493632196
11,木曜日,960,805938,39.480000000000004,35804,0.041125,20413.82978723404
