時間帯,クリック数,費用,コンバージョン,CV率
0,2023,1522163,63.6,0.03143845773603559
1,241,174857,9.41,0.039045643153526974
2,159,172802,6.55,0.04119496855345912
3,136,170124,4.45,0.03272058823529412
4,153,230358,5.0,0.032679738562091505
5,177,208764,10.0,0.05649717514124294
6,2440,2401185,73.91,0.030290983606557374
7,3689,3358494,95.1,0.02577934399566278
8,3634,3440852,112.4,0.030930104567969182
9,5125,4876277,152.74,0.029802926829268293
10,6709,5600592,170.14,0.02535996422715755
11,5308,5349395,197.48,0.037204220045214766
12,6027,5281549,203.67,0.033792931806869084
13,6623,5475525,175.07,0.02643364034425487
14,5582,5249700,168.68,0.030218559656037265
15,5473,4930961,165.59,0.03025580120591997
16,5499,4935513,165.96,0.030180032733224223
17,5758,4487180,159.23,0.027653699201111496
18,4108,3549103,127.26,0.030978578383641677
19,3971,3123530,106.5,0.02681944094686477
20,4122,2983796,94.1,0.022828723920426976
21,3322,2191532,83.84,0.025237808549066827
22,2945,1853139,76.95,0.026129032258064518
23,2180,1259345,42.99,0.019720183486238534
