variable,coefficient,pvalue,significant
Intercept,10.959581967911358,0.01814253437720965,True
C(weekday)[T.1],1.2554697247454427,0.6073490331829339,False
C(month)[T.2],-2.0076086615046362,0.2184332986024862,False
C(month)[T.3],-2.2667566526774032,0.17867191309188327,False
C(month)[T.4],-3.7697443768761634,0.03548937122997714,True
C(month)[T.5],0.7399896519981481,0.6611607434020703,False
C(month)[T.6],-1.3969215905301042,0.44158214768669457,False
C(month)[T.7],-1.5165018167151225,0.4604711414851391,False
C(month)[T.8],-5.630483233078507,0.005072798384639281,True
C(month)[T.9],-1.049620243678501,0.5646791208909009,False
C(month)[T.10],-1.516618520165692,0.4462975390961247,False
C(month)[T.11],-1.109630570449717,0.566768272207615,False
C(month)[T.12],-2.8917129842939016,0.15601040272359562,False
C(year)[T.2025],-6.278875732492137,2.362101513302752e-05,True
C(year)[T.2026],-7.402474656025959,2.7663319400306136e-05,True
cost_adstock,1.5859850821122142e-05,8.028134332290693e-11,True
trend_leaseback,-0.008409120561480788,0.8781419232397298,False
trend_reverse_mortgage,-0.008039168292434947,0.8806064793829497,False
trend_reverse60,-0.04348488780390991,0.29150320364255355,False
trend_sale,-0.08488205554235642,0.08110350966824452,False
trend_loan,-0.022561173936271536,0.2928779474982154,False
trend_collateral,0.002663752979452566,0.9597321243997401,False
trend_auction,0.011732356089122375,0.7918333022770327,False
