キャンペーンのパフォーマンス
2026年3月1日 - 2026年6月14日
キャンペーン,キャンペーンの状態,キャンペーン タイプ,日,クリック数,表示回数,クリック率,通貨コード,平均クリック単価,費用,最上部インプレッションの割合,上部インプレッションの割合,コンバージョン,ビュースルー コンバージョン,コンバージョン単価,コンバージョン率,すべてのコンバージョン,すべてのコンバージョン率,費用 / すべてのコンバージョン
［不動産］リースバック｜強化,一時停止,検索,2026-05-07,192,"2,036",9.43%,JPY,478,91803,15.13%,81.38%,1.00,0,91803,0.52%,3.00,1.56%,30601
［不動産］リースバック｜強化,一時停止,検索,2026-05-08,186,"1,665",11.17%,JPY,394,73334,15.23%,82.42%,0.00,0,0,0.00%,3.00,1.61%,24445
［不動産］リースバック｜強化,一時停止,検索,2026-05-10,159,"1,684",9.44%,JPY,316,50318,8.48%,69.38%,1.00,0,50318,0.63%,1.00,0.63%,50318
［不動産］リースバック｜強化,一時停止,検索,2026-05-09,156,"1,768",8.82%,JPY,377,58745,14.31%,81.02%,2.00,0,29372,1.28%,3.00,1.92%,19582
［不動産］リースバック｜強化,一時停止,検索,2026-04-11,153,"1,766",8.66%,JPY,724,110841,14.61%,80.95%,5.00,0,22168,3.27%,7.00,4.58%,15834
［不動産］リースバック｜強化,一時停止,検索,2026-04-10,148,"2,292",6.46%,JPY,760,112436,15.43%,80.29%,1.00,0,112436,0.68%,2.00,1.35%,56218
［不動産］リースバック｜強化,一時停止,検索,2026-04-15,123,"2,448",5.02%,JPY,851,104655,12.53%,78.68%,1.00,0,104655,0.81%,1.00,0.81%,104655
［不動産］リースバック｜強化,一時停止,検索,2026-04-09,121,"2,342",5.17%,JPY,1119,135359,15.95%,79.49%,1.00,0,135359,0.83%,3.00,2.48%,45120
［不動産］リースバック｜強化,一時停止,検索,2026-04-26,109,918,11.87%,JPY,1000,109027,13.64%,80.58%,4.00,0,27257,3.67%,5.00,4.59%,21805
［不動産］リースバック｜強化,一時停止,検索,2026-05-06,108,"1,683",6.42%,JPY,726,78438,13.64%,79.83%,2.00,0,39219,1.85%,3.00,2.78%,26146
［不動産］リースバック｜強化,一時停止,検索,2026-05-30,105,"1,466",7.16%,JPY,827,86868,16.35%,79.09%,1.00,0,86868,0.95%,1.00,0.95%,86868
［不動産］リースバック｜強化,一時停止,検索,2026-05-31,104,"1,203",8.65%,JPY,510,53026,15.73%,80.19%,1.00,0,53026,0.96%,2.00,1.92%,26513
［不動産］リースバック｜強化,一時停止,検索,2026-03-17,97,"2,400",4.04%,JPY,1273,123450,15.61%,80.20%,2.00,0,61725,2.06%,2.00,2.06%,61725
［不動産］リースバック｜強化,一時停止,検索,2026-04-12,96,"1,505",6.38%,JPY,878,84256,12.52%,80.71%,0.00,0,0,0.00%,1.00,1.04%,84256
［不動産］リースバック｜強化,一時停止,検索,2026-06-01,92,"1,173",7.84%,JPY,548,50373,16.89%,81.48%,1.00,0,50373,1.09%,3.00,3.26%,16791
［不動産］リースバック｜強化,一時停止,検索,2026-04-13,90,"1,687",5.33%,JPY,1232,110854,12.64%,79.52%,2.00,0,55427,2.22%,2.00,2.22%,55427
［不動産］リースバック｜強化,一時停止,検索,2026-04-16,89,"2,037",4.37%,JPY,1048,93254,12.69%,78.92%,0.00,0,0,0.00%,0.00,0.00%,0
［不動産］リースバック｜強化,一時停止,検索,2026-05-29,89,"1,397",6.37%,JPY,884,78649,13.58%,80.03%,2.00,0,39325,2.25%,2.00,2.25%,39325
［不動産］リースバック｜強化,一時停止,検索,2026-05-04,87,"1,232",7.06%,JPY,797,69374,15.20%,85.29%,3.00,0,23125,3.45%,4.00,4.60%,17343
［不動産］リースバック｜強化,一時停止,検索,2026-05-13,84,"1,474",5.70%,JPY,776,65223,13.64%,70.82%,1.00,0,65223,1.19%,2.00,2.38%,32612
［不動産］リースバック｜強化,一時停止,検索,2026-03-18,78,"1,631",4.78%,JPY,1571,122519,15.86%,79.05%,2.00,0,61259,2.56%,3.00,3.85%,40840
