キャンペーンのパフォーマンス
2021年1月1日 - 2026年6月15日
日,キャンペーン,クリック数,表示回数,クリック率,通貨コード,平均クリック単価,費用,コンバージョン,コンバージョン率,コンバージョン単価,すべてのコンバージョン,すべてのコンバージョン値,検索広告の最上部インプレッション シェア,検索広告の上部インプレッション シェア,検索広告のインプレッション シェア,検索広告の IS 損失率（ランク）,検索広告の IS 損失率（予算）
2021-01-03,※終了※02_一般,0,0,0,JPY,0,0,0.00,0,0,0.00,0.00, --, --, --, --, --
2021-01-04,※終了※02_一般,8,180,4.44%,JPY,956,7650,1.00,12.50%,7650,1.00,0.00,< 10 %,43.75%,79.41%,20.59%,0.00%
2021-01-05,※終了※02_一般,17,329,5.17%,JPY,1538,26141,1.87,10.99%,13993,1.87,0.00,13.42%,52.63%,81.30%,18.70%,0.00%
2021-01-06,※終了※02_一般,21,314,6.69%,JPY,1291,27111,1.47,7.00%,18437,1.47,0.00,10.96%,55.62%,82.96%,17.04%,0.00%
2021-01-07,※終了※02_一般,18,249,7.23%,JPY,1400,25207,5.68,31.58%,4435,5.68,0.00,< 10 %,50.81%,78.64%,21.36%,0.00%
2021-01-08,※終了※02_一般,17,231,7.36%,JPY,1140,19387,2.00,11.76%,9694,2.00,0.00,< 10 %,32.50%,62.50%,37.50%,0.00%
2021-01-09,※終了※02_一般,27,217,12.44%,JPY,1500,40508,1.41,5.22%,28726,1.41,0.00,13.78%,62.22%,88.21%,11.79%,0.00%
2021-01-10,※終了※02_一般,16,221,7.24%,JPY,1533,24522,1.65,10.30%,14885,1.65,0.00,20.38%,69.19%,90.74%,9.26%,0.00%
2021-01-11,※終了※02_一般,25,253,9.88%,JPY,1771,44278,1.00,4.00%,44278,1.00,0.00,22.36%,70.04%,90.30%,9.70%,0.00%
2021-01-12,※終了※02_一般,18,257,7.00%,JPY,1798,32355,0.00,0.00%,0,0.00,0.00,14.42%,50.00%,66.57%,11.55%,21.88%
2021-01-13,※終了※02_一般,16,306,5.23%,JPY,2010,32165,2.04,12.74%,15775,2.04,0.00,13.91%,57.40%,81.16%,18.84%,0.00%
2021-01-14,※終了※02_一般,19,327,5.81%,JPY,1320,25074,3.00,15.79%,8358,3.00,0.00,15.43%,52.57%,77.46%,22.54%,0.00%
2021-01-15,※終了※02_一般,13,176,7.39%,JPY,1301,16912,0.00,0.00%,0,0.00,0.00,13.14%,39.41%,62.61%,37.39%,0.00%
2021-01-19,※終了※02_一般,1,2,50.00%,JPY,795,795,1.00,100.00%,795,1.00,0.00,< 10 %,50.00%,100.00%,0.00%,0.00%
2021-01-20,※終了※02_一般,21,389,5.40%,JPY,1206,25317,1.00,4.76%,25317,1.00,0.00,< 10 %,42.56%,67.96%,32.04%,0.00%
2021-01-21,※終了※02_一般,12,249,4.82%,JPY,1554,18649,1.00,8.33%,18649,1.00,0.00,< 10 %,33.15%,65.64%,34.36%,0.00%
2021-01-22,※終了※02_一般,15,247,6.07%,JPY,879,13188,0.00,0.00%,0,0.00,0.00,< 10 %,42.76%,75.24%,24.76%,0.00%
2021-01-23,※終了※02_一般,14,182,7.69%,JPY,875,12244,0.45,3.23%,27115,0.45,0.00,13.94%,48.56%,77.31%,22.69%,0.00%
2021-01-24,※終了※02_一般,19,185,10.27%,JPY,957,18190,0.00,0.00%,0,0.00,0.00,12.32%,55.92%,81.78%,18.22%,0.00%
2021-01-25,※終了※02_一般,8,210,3.81%,JPY,741,5929,2.31,28.86%,2568,2.31,0.00,< 10 %,23.12%,56.45%,37.54%,6.02%
2021-01-26,※終了※02_一般,6,188,3.19%,JPY,968,5806,1.00,16.67%,5806,1.00,0.00,< 10 %,22.22%,51.86%,48.14%,0.00%
