キャンペーンのパフォーマンス
2021年1月1日 - 2026年6月15日
時間帯,曜日,キャンペーン,クリック数,表示回数,クリック率,通貨コード,平均クリック単価,費用,コンバージョン,コンバージョン率,コンバージョン単価
0,日曜日,01_指名,0,0,0,JPY,0,0,0.00,0,0
0,月曜日,01_指名,0,1,0.00%,JPY,0,0,0.00,0,0
0,火曜日,01_指名,1,2,50.00%,JPY,153,153,0.00,0.00%,0
0,木曜日,01_指名,0,0,0,JPY,0,0,0.00,0,0
0,金曜日,01_指名,0,0,0,JPY,0,0,0.00,0,0
0,土曜日,01_指名,0,0,0,JPY,0,0,0.00,0,0
0,日曜日,※終了※02_一般,0,19,0.00%,JPY,0,0,0.00,0,0
0,月曜日,※終了※02_一般,0,13,0.00%,JPY,0,0,0.00,0,0
0,火曜日,※終了※02_一般,1,16,6.25%,JPY,1526,1526,0.00,0.00%,0
0,水曜日,※終了※02_一般,0,32,0.00%,JPY,0,0,0.00,0,0
0,木曜日,※終了※02_一般,2,21,9.52%,JPY,2207,4414,1.00,50.00%,4414
0,金曜日,※終了※02_一般,0,12,0.00%,JPY,0,0,0.00,0,0
0,土曜日,※終了※02_一般,1,8,12.50%,JPY,2782,2782,1.00,100.00%,2782
0,月曜日,※終了※03_競合,0,0,0,JPY,0,0,0.00,0,0
0,火曜日,※終了※03_競合,0,0,0,JPY,0,0,0.00,0,0
0,水曜日,※終了※03_競合,0,0,0,JPY,0,0,0.00,0,0
0,木曜日,※終了※03_競合,0,0,0,JPY,0,0,0.00,0,0
0,金曜日,※終了※03_競合,0,0,0,JPY,0,0,0.00,0,0
0,土曜日,※終了※03_競合,0,0,0,JPY,0,0,0.00,0,0
0,日曜日,02_一般／リースバック複合KW,0,2,0.00%,JPY,0,0,0.00,0,0
0,月曜日,02_一般／リースバック複合KW,0,5,0.00%,JPY,0,0,0.00,0,0
0,火曜日,02_一般／リースバック複合KW,0,0,0,JPY,0,0,0.00,0,0
0,水曜日,02_一般／リースバック複合KW,0,0,0,JPY,0,0,0.00,0,0
0,木曜日,02_一般／リースバック複合KW,0,0,0,JPY,0,0,0.00,0,0
0,金曜日,02_一般／リースバック複合KW,0,0,0,JPY,0,0,0.00,0,0
0,土曜日,02_一般／リースバック複合KW,0,0,0,JPY,0,0,0.00,0,0
0,月曜日,02_一般／リースバック単一KW,0,0,0,JPY,0,0,0.00,0,0
0,火曜日,02_一般／リースバック単一KW,0,0,0,JPY,0,0,0.00,0,0
0,水曜日,02_一般／リースバック単一KW,0,0,0,JPY,0,0,0.00,0,0
0,木曜日,02_一般／リースバック単一KW,0,9,0.00%,JPY,0,0,0.00,0,0
0,金曜日,02_一般／リースバック単一KW,0,0,0,JPY,0,0,0.00,0,0
0,土曜日,02_一般／リースバック単一KW,0,0,0,JPY,0,0,0.00,0,0
0,月曜日,FIND／リースバック,0,0,0,JPY,0,0,0.00,0,0
0,火曜日,FIND／リースバック,0,0,0,JPY,0,0,0.00,0,0
