date,リースバック,リバースモーゲージ,リバース60,任意売却,住宅ローン 払えない,不動産担保ローン,競売 不動産
2021-06-13,32,25,8,69,84,38,17
2021-06-20,35,22,0,58,63,33,19
2021-06-27,40,19,6,83,78,39,15
2021-07-04,43,28,0,63,43,39,16
2021-07-11,32,22,9,68,0,37,13
2021-07-18,35,21,8,72,50,37,11
2021-07-25,35,22,6,61,74,47,11
2021-08-01,28,18,0,74,0,38,15
2021-08-08,28,26,43,48,36,38,11
2021-08-15,32,31,100,60,61,33,16
2021-08-22,34,28,52,72,54,37,18
2021-08-29,39,19,11,57,81,44,14
2021-09-05,37,26,11,85,100,47,20
2021-09-12,51,31,12,62,74,40,20
2021-09-19,40,19,8,88,59,41,17
2021-09-26,37,25,8,64,52,46,18
2021-10-03,33,22,11,61,0,46,18
2021-10-10,36,38,8,56,0,46,18
2021-10-17,38,28,7,62,0,39,18
2021-10-24,29,26,0,58,53,43,16
2021-10-31,36,33,9,65,46,45,13
2021-11-07,34,20,7,63,45,31,12
2021-11-14,43,28,9,72,0,33,15
2021-11-21,30,26,0,63,0,37,15
2021-11-28,41,27,0,60,85,43,16
2021-12-05,27,25,6,65,46,52,16
2021-12-12,39,21,0,57,0,47,13
2021-12-19,32,18,0,67,0,50,14
2021-12-26,11,11,0,52,0,25,10
2022-01-02,40,38,50,64,0,40,15
2022-01-09,44,41,81,84,0,36,26
2022-01-16,43,34,30,100,56,57,15
2022-01-23,43,34,11,83,38,39,16
2022-01-30,44,36,16,66,75,40,20
2022-02-06,51,40,12,87,43,45,15
2022-02-13,43,31,11,85,50,50,18
2022-02-20,42,32,8,80,44,53,15
2022-02-27,51,30,7,70,60,59,14
2022-03-06,41,25,10,65,38,51,18
2022-03-13,42,30,7,73,55,52,15
2022-03-20,35,27,10,59,49,49,15
2022-03-27,37,30,6,62,45,54,14
2022-04-03,40,25,7,54,49,39,13
2022-04-10,50,27,8,68,34,62,14
2022-04-17,54,31,7,65,52,56,16
2022-04-24,46,28,4,58,41,54,12
2022-05-01,38,21,0,50,59,37,11
2022-05-08,47,30,9,71,38,59,15
2022-05-15,52,65,4,85,0,50,17
2022-05-22,50,42,7,81,50,51,12
2022-05-29,42,32,0,78,42,53,13
2022-06-05,50,30,12,96,52,49,15
2022-06-12,43,31,0,77,59,50,13
2022-06-19,48,42,6,71,40,49,19
2022-06-26,42,29,5,74,49,54,14
2022-07-03,43,30,6,59,0,47,10
2022-07-10,38,26,6,63,0,59,13
2022-07-17,49,27,0,78,30,51,17
2022-07-24,47,30,0,71,0,48,13
2022-07-31,53,22,5,77,42,35,12
2022-08-07,30,25,38,42,36,38,11
2022-08-14,45,43,98,78,68,47,14
2022-08-21,50,34,71,63,48,47,14
2022-08-28,53,33,21,57,52,59,11
2022-09-04,45,31,13,74,46,42,16
2022-09-11,53,33,10,61,58,44,14
2022-09-18,42,26,10,55,54,43,14
2022-09-25,49,32,9,71,64,55,15
2022-10-02,50,28,11,63,0,49,14
2022-10-09,52,27,6,62,39,51,16
2022-10-16,48,28,7,79,0,62,21
2022-10-23,46,32,11,62,43,68,16
2022-10-30,56,25,9,57,38,58,16
