date,リースバック,リバースモーゲージ,リバース60,任意売却,住宅ローン 払えない,不動産担保ローン
2025-06-08,73,76,24,62,0,61
2025-06-15,62,67,15,70,0,74
2025-06-22,51,65,18,59,80,71
2025-06-29,60,80,19,47,71,65
2025-07-06,41,64,14,63,0,66
2025-07-13,49,53,20,48,0,69
2025-07-20,32,62,19,53,0,66
2025-07-27,42,82,15,54,0,64
2025-08-03,44,74,21,51,44,51
2025-08-10,32,69,94,47,0,59
2025-08-17,51,71,92,50,0,62
2025-08-24,60,64,16,57,0,74
2025-08-31,53,70,0,52,0,72
2025-09-07,51,92,13,59,0,65
2025-09-14,42,55,18,70,0,71
2025-09-21,45,57,21,64,67,57
2025-09-28,63,53,20,67,0,100
2025-10-05,52,55,19,77,0,69
2025-10-12,61,44,0,45,45,72
2025-10-19,85,63,18,75,0,71
2025-10-26,58,57,23,84,0,62
2025-11-02,100,57,79,62,0,63
2025-11-09,66,71,86,74,0,59
2025-11-16,57,58,29,61,0,66
2025-11-23,53,64,19,53,0,65
2025-11-30,61,100,22,71,0,59
2025-12-07,58,75,24,66,0,72
2025-12-14,52,48,15,47,0,64
2025-12-21,47,40,0,66,0,58
2025-12-28,31,55,0,0,45,25
2026-01-04,53,54,81,59,0,79
2026-01-11,49,65,100,68,0,76
2026-01-18,64,58,39,56,0,86
2026-01-25,55,49,27,48,54,75
2026-02-01,58,70,19,59,0,72
2026-02-08,58,45,22,77,0,68
2026-02-15,67,59,19,80,0,88
2026-02-22,66,58,25,100,0,86
2026-03-01,70,51,18,66,0,73
2026-03-08,56,49,22,67,0,71
2026-03-15,58,31,20,67,63,76
2026-03-22,56,46,21,49,0,67
2026-03-29,47,46,17,60,57,66
2026-04-05,51,46,16,75,0,56
2026-04-12,50,42,13,52,0,61
2026-04-19,49,49,14,52,0,76
2026-04-26,41,57,15,60,0,72
2026-05-03,45,65,96,46,56,50
2026-05-10,58,56,98,69,0,79
2026-05-17,51,62,31,65,0,59
2026-05-24,61,74,24,71,100,81
2026-05-31,65,60,19,56,32,61
2026-06-07,69,57,18,62,40,60
2026-06-14,38,38,26,38,0,31
